id,file_name,page_start,page_end,current_section_number,detected_body_heading,mismatch_type,first_40_words_sanitized,contains_group_m,contains_1115,contains_12000,contains_903,contains_907,recommended_action,proposed_section_number,confidence,reviewer_notes
57,SBC 201 - The Saudi General Building Code-1-250_extracted_chunks.json,47,47,107.1,,no_detectable_heading,CHAPTER 1—SCOPE AND APPLICABILITY OF THE GENERAL SAUDI BUILDING CODE SBC 201-CC-2024 19 the source of accurate information when trying to resolve an issue such as a discrepancy in plans submitted by different designers. The requirement that the owner or,,,,,,split_chunk_candidate,,,
58,SBC 201 - The Saudi General Building Code-1-250_extracted_chunks.json,47,47,104.7,108.1,suspicious_cross_chapter_label,"❖ A set of the approved construction documents must be kept by the building official as may be required by laws, but for a period of not less than 180 days after the work is complete. Questions regarding an item",,,,,,manual_review,,,
59,SBC 201 - The Saudi General Building Code-1-250_extracted_chunks.json,48,48,108.2,,no_detectable_heading,CHAPTER 1—SCOPE AND APPLICABILITY OF THE GENERAL SAUDI BUILDING CODE SBC 201-CC-2024 20 This section allows the building official to issue permits for temporary structures or uses. The applicant must specify the time period desired for the temporary structure or,,,,,,split_chunk_candidate,,,
67,SBC 201 - The Saudi General Building Code-1-250_extracted_chunks.json,55,55,113.2,,no_detectable_heading,"CHAPTER 1—SCOPE AND APPLICABILITY OF THE GENERAL SAUDI BUILDING CODE SBC 201-CC-2024 27 forum, other than the court of jurisdiction, in which to review the building official’s actions. While this section allows literally any person to appeal a decision of",,,,,,split_chunk_candidate,,,
72,SBC 201 - The Saudi General Building Code-1-250_extracted_chunks.json,61,61,508.4.4,,no_detectable_heading,"CHAPTER 2—DEFINITIONS SBC 201-CC-2024 33 —DEFINITIONS ❖ General Comments Nearly all terms defined in the code are listed and defined in Chapter 2. While many terms are used primarily in one chapter or another, the vast majority of terms are",,,,,,split_chunk_candidate,,,
83,SBC 201 - The Saudi General Building Code-1-250_extracted_chunks.json,69,70,404.6,,no_detectable_heading,"CHAPTER 2—DEFINITIONS SBC 201-CC-2024 41 including transformers, ventilation shafts and pipe tunnels. ASSEMBLY SEATING, MULTILEVEL. See “Multilevel assembly seating.” ATRIUM. A vertical space that is closed at the top, connecting two or more stories in Group I-2 and I- 3",,,,,1,do_not_touch,,,
84,SBC 201 - The Saudi General Building Code-1-250_extracted_chunks.json,69,70,903.3.1,,no_detectable_heading,"❖ Chapter 9 provides requirements for various automatic protection systems including: “automatic fire detection system,” “automatic sprinkler system,” “automatic fire alarm system” and “automatic smoke detection system.” Automatic smoke detection systems are required for various occupancies as specified in Section",,,,1,,do_not_touch,,,
85,SBC 201 - The Saudi General Building Code-1-250_extracted_chunks.json,69,70,907.5.2,,no_detectable_heading,"Water mist systems create a heat-absorbent vapor consisting of water droplets with a size of less than 1000 microns at the discharge nozzle. These systems are typically used where water damage may be an issue, or where water supplies are",,,,,1,do_not_touch,,,
92,SBC 201 - The Saudi General Building Code-1-250_extracted_chunks.json,73,223,104.10,,no_detectable_heading,❖ This term defines the limitations or boundaries for construction of a building. This line is typically established by a zoning statute or rights-of-way dedication and is not specified in the code. BUILDING OFFICIAL. an officer or other designated authority,1,,,,,do_not_touch,,,
93,SBC 201 - The Saudi General Building Code-1-250_extracted_chunks.json,73,223,311.2,,no_detectable_heading,"Buildings used for the bulk storage of tires are classified as Group S-1 occupancies in accordance with Section 311.2 . All Group S-1 occupancies, regardless of square meters, are required by Section 903.2.9.2 to be equipped with an NFPA 13",,,,1,,do_not_touch,,,
98,SBC 201 - The Saudi General Building Code-1-250_extracted_chunks.json,73,223,907.5.2,,no_detectable_heading,"❖ Visible alarm notification appliances are located anywhere an occupant notification system is required to assist occupants who may be hearing impaired, where the general noise level is high enough that occupants might not hear the audible alarms and in",,,,,1,do_not_touch,,,
101,SBC 201 - The Saudi General Building Code-1-250_extracted_chunks.json,73,223,1609.2,1609.3,body_heading_differs_from_section_number,"1609.2 for information on the effects of openings in the building envelope). Note that Section 1609.3 makes Figure 1609.3(2) applicable to both Risk Category III and IV structures for obtaining the basic design wind speed. However, this definition of windborne",,,,,,split_chunk_candidate,,,
108,SBC 201 - The Saudi General Building Code-1-250_extracted_chunks.json,73,223,5003.11,,no_detectable_heading,"SBC 201-CC-2024 160 FIGURE 202(32) LOW-ENERGY POWER-OPERATED DOOR— DUAL ACTION, DOUBLE LEAF SWINGING TYPE FIGURE 202(33) LOW-ENERGY POWER-OPERATED DOOR— SINGLE LEAF WITH REMOTE PLATE - CHAPTER 2—DEFINITIONS SBC 201-CC-2024 161 FIGURE 202(34) LOW-ENERGY POWER-OPERATED DOOR— DOUBLE LEAF SLIDING TYPE FIGURE",1,,,,,split_chunk_candidate,,,
112,SBC 201 - The Saudi General Building Code-1-250_extracted_chunks.json,76,220,308.3.2,,no_detectable_heading,❖ SBC 1201 and SBC 501 address the installation of chimneys and venting systems that are required to convey products of combustion from fuel-burning appliances to the atmosphere. The code regulates the construction of masonry chimneys in Section 2113. Chimneys,,,,1,,do_not_touch,,,
113,SBC 201 - The Saudi General Building Code-1-250_extracted_chunks.json,76,220,310.4,,no_detectable_heading,❖ Any facility that has the characteristics of a Group I-2 occupancy but does not have more than five persons receiving care at any one time is to be classified as a Group R-3 occupancy (see Section 310.4 ). As,,,,,,split_chunk_candidate,,,
115,SBC 201 - The Saudi General Building Code-1-250_extracted_chunks.json,76,220,308.4.5,308.5,body_heading_differs_from_section_number,"and cannot safely be handled in large groups (see Commentary Figure 308.4.5). 308.5 Institutional Group I-4, day care facilities. Institutional Group I-4 occupancy shall include buildings and structures occupied by more than five persons of any age who receive custodial",,,,,,split_chunk_candidate,,,
121,SBC 201 - The Saudi General Building Code-1-250_extracted_chunks.json,78,83,103.5,,no_detectable_heading,❖ Combustible liquids differ from flammable liquids in that the closed cup flash point of all combustible liquids is at or above 38°C (see the definition of “Flash point”). The three classes of combustible liquids are dictated by the range,,,,1,,do_not_touch,,,
126,SBC 201 - The Saudi General Building Code-1-250_extracted_chunks.json,84,93,717.5.4,717.5.4.1,body_heading_child_of_section_number,"❖ Under certain conditions, the code allows the corridor enclosure to include a ceiling constructed as a fire-rated assembly equivalent to that required for the corridor walls (fire partitions). Under most conditions, this would allow the fire partitions to be",,,,,,safe_auto_candidate,,,
138,SBC 201 - The Saudi General Building Code-1-250_extracted_chunks.json,94,154,907.5.2,907.5.2.2,body_heading_child_of_section_number,CHAPTER 2—DEFINITIONS SBC 201-CC-2024 66 and conductors. ❖ Electrical circuit protective systems are used primarily for fire protection of wiring and cables that serve smokeproof enclosure ventilation systems and fire service access elevators. These systems are an alternative to conventional,,,,,1,safe_auto_candidate,,,
155,SBC 201 - The Saudi General Building Code-1-250_extracted_chunks.json,103,115,901.6,,no_detectable_heading,"❖ Fire partitions are used as wall assemblies to separate adjacent tenant spaces in covered and open mall buildings, to separate dwelling units, to separate sleeping rooms, to enclose corridors and to enclose elevator lobbies. Section 708 establishes the construction",,,,,1,do_not_touch,,,
163,SBC 201 - The Saudi General Building Code-1-250_extracted_chunks.json,103,115,1030.1.1,,no_detectable_heading,"Bleachers, folding and telescopic seating, and grandstands are essentially unique forms of tiered seating that are supported on a dedicated structural system. All types are addressed in ICC 300, Standard for Bleachers, Folding and Telescopic Seating, and Grandstands (see Section",,,,,,split_chunk_candidate,,,
188,SBC 201 - The Saudi General Building Code-1-250_extracted_chunks.json,126,128,1703.5,,no_detectable_heading,"CHAPTER 2—DEFINITIONS SBC 201-CC-2024 98 Section 1612. ❖ The lowest floor is the most important reference point when designing and constructing a building or structure in a flood hazard area. The term is specifically defined to include basements, which are",,,,,,split_chunk_candidate,,,
193,SBC 201 - The Saudi General Building Code-1-250_extracted_chunks.json,129,147,721.1,,no_detectable_heading,"❖ A common design feature in factories, warehouses and mercantile buildings is an intermediate loft, or platform, between the story levels of a building. This type of feature, or mezzanine, can be found in buildings of all occupancies. The code",1,,,,,do_not_touch,,,
198,SBC 201 - The Saudi General Building Code-1-250_extracted_chunks.json,129,147,1027.6,,no_detectable_heading,❖ An example of open-air assembly seating is an open outdoor grandstand. The intent is to separate this from smoke-protected seating such as an indoor arena with a smoke control system. The code has less stringent requirements for certain aspects,,,,,,split_chunk_candidate,,,
200,SBC 201 - The Saudi General Building Code-1-250_extracted_chunks.json,129,147,1010.2.9,,no_detectable_heading,"❖ Oxidizers sometimes yield oxidizing gases during a chemical reaction. These gases are capable of supporting and accelerating the combustion of other materials. Examples of oxidizing gases include bromine, chlorine and fluorine. PANEL (PART OF A STRUCTURE). The section of",,,,,,split_chunk_candidate,,,
209,SBC 201 - The Saudi General Building Code-1-250_extracted_chunks.json,129,147,406.8,,no_detectable_heading,"❖ Motor vehicle repair garages are classified in occupancy Group S-1. A repair garage may be part of a motor fuel-dispensing facility, but will still have its own specific requirements. Repair garages are regulated within Section 406.8. REROOFING. The process",,,,,,split_chunk_candidate,,,
214,SBC 201 - The Saudi General Building Code-1-250_extracted_chunks.json,129,147,907.2.11,,no_detectable_heading,of material are placed overlapping lower layers of material to provide for drainage via gravity and moisture control. ❖ This term is used to describe the required method of applying moisture control layers such as roof underlayment and water-resistive barriers,,,,,1,split_chunk_candidate,,,
226,SBC 201 - The Saudi General Building Code-1-250_extracted_chunks.json,158,160,105.3,,no_detectable_heading,"CHAPTER 2—DEFINITIONS SBC 201-CC-2024 130 provide such information as allowed under Section 105.3. For additional guidance, refer to FEMA P-758, Substantial Improvement/Substantial Damage Desk Reference, and FEMA P-784, Substantial Damage Estimator (SDE) Tool. SUNROOM. A one-story structure attached to a",,,,,,split_chunk_candidate,,,
232,SBC 201 - The Saudi General Building Code-1-250_extracted_chunks.json,194,195,903.2.8,,no_detectable_heading,"❖ This section requires all structures to be classified in one or more of the groups listed according to the structure's purpose and function (i.e., its occupancy). By organizing occupancies with similar fire hazard and life safety properties into groups,",,,,1,,do_not_touch,,,
236,SBC 201 - The Saudi General Building Code-1-250_extracted_chunks.json,196,229,303.1.4,,no_detectable_heading,"❖ A typical educational facility for students in the high school and below invariably contains many types of assembly spaces other than classrooms, including auditoriums, cafeterias, gymnasiums and libraries. These assembly spaces in a Group E building are not intended",,,,,,split_chunk_candidate,,,
239,SBC 201 - The Saudi General Building Code-1-250_extracted_chunks.json,196,229,303.6,,no_detectable_heading,"❖ Structures provided with spectator seating in which people assemble to watch an indoor sporting event are to be classified as Group A- 4. Arenas, skating rinks, swimming pools and tennis courts are among the facilities often classified as Group",,,,,,split_chunk_candidate,,,
240,SBC 201 - The Saudi General Building Code-1-250_extracted_chunks.json,196,229,509.1,311.1.2,suspicious_cross_chapter_label,"❖ This provision allows accessory storage areas to be classified in the same occupancy group as the primary occupancy of a space. There are no limits on the size of such spaces, nor how much of the floor area such",1,,,,,split_chunk_candidate,,,
241,SBC 201 - The Saudi General Building Code-1-250_extracted_chunks.json,196,229,412.3,311.2.2,suspicious_cross_chapter_label,❖ This is one of a series of pointers to Chapter 4 due to a concern that these items may be missed. See the commentary to Section 412.3 and the definitions for “Residential aircraft hangar” and “Transient aircraft.” 311.2.2 Motor,,,,,,split_chunk_candidate,,,
254,SBC 201 - The Saudi General Building Code-1-250_extracted_chunks.json,207,209,414.2.5,,no_detectable_heading,"Note k permits a larger amount of Class 3 oxidizers in a building when used for maintenance and sanitation purposes. An example is the use of 51 percent hydrogen peroxide (H2O2) during industrial-scale food production operations. In a diluted form,",1,,,,,do_not_touch,,,
255,SBC 201 - The Saudi General Building Code-1-250_extracted_chunks.json,207,209,307.1,,no_detectable_heading,"The maximum allowable quantities per control area listed in Table 307.1(2) are indicative of industry practice and assume the materials are properly stored and handled in accordance with SBC 801. Group H-4 materials, while indeed hazardous, are primarily considered a",1,,,,,do_not_touch,,,
256,SBC 201 - The Saudi General Building Code-1-250_extracted_chunks.json,210,213,414.2.5,,no_detectable_heading,"CHAPTER 3—USE AND OCCUPANCY CLASSIFICATION SBC 201-CC-2024 182 horizontal assemblies constructed in accordance with Section 711, or both. 5 Cleaning establishments that utilize a liquid solvent having a flash point at or above 90°C. 6 Refrigeration systems. 7 The storage",1,,,,,do_not_touch,,,
257,SBC 201 - The Saudi General Building Code-1-250_extracted_chunks.json,210,213,307.1,,no_detectable_heading,"Item 3 exempts from Group H classification closed systems that are used exclusively for the operation of machinery or equipment. The closed piping systems, which are essentially not open to the atmosphere, keep flammable or combustible liquids from direct exposure",1,,,,,do_not_touch,,,
258,SBC 201 - The Saudi General Building Code-1-250_extracted_chunks.json,210,213,1207.3,,no_detectable_heading,"Item 13 permits the base maximum allowable quantity per control area of black powder, smokeless propellant and small arms primers in Groups M and R-3 occupancies to be exceeded, provided the material is stored in accordance with Chapter 56 of",,,,,,split_chunk_candidate,,,
265,SBC 201 - The Saudi General Building Code-1-250_extracted_chunks.json,216,224,308.2.1,,no_detectable_heading,"CHAPTER 3—USE AND OCCUPANCY CLASSIFICATION SBC 201-CC-2024 188 For clarification purposes, a dormitory or apartment complex that houses only elderly people and has a nonmedically trained live-in manager is not classified as an institutional occupancy but rather as a residential",,,,1,,split_chunk_candidate,,,
267,SBC 201 - The Saudi General Building Code-1-250_extracted_chunks.json,216,224,310.4.2,,no_detectable_heading,"Other occupancies are often found in buildings classified in Group R-1. These occupancies include restaurants (Group A-2), gift shops (Group M), business offices (Group B), health clubs (Group A-3) and storage facilities (Group S-1). When this occurs, the building is",1,,,,,do_not_touch,,,
268,SBC 201 - The Saudi General Building Code-1-250_extracted_chunks.json,217,217,308.3,,no_detectable_heading,"CHAPTER 3—USE AND OCCUPANCY CLASSIFICATION SBC 201-CC-2024 189 • Within hospitals, there has been a general increase in the floor area per patient due to the increase in diagnostic equipment and the movement toward single-occupant patient rooms. • Within nursing",1,,,,,split_chunk_candidate,,,
270,SBC 201 - The Saudi General Building Code-1-250_extracted_chunks.json,221,222,308.1,308.5.2,body_heading_differs_from_section_number,"CHAPTER 3—USE AND OCCUPANCY CLASSIFICATION SBC 201-CC-2024 193 would need to be classified as a mixed- occupancy facility of Groups E and I-4. By permitting the facility to be classified as Group E, the building would not be required to",1,,,,,split_chunk_candidate,,,
271,SBC 201 - The Saudi General Building Code-1-250_extracted_chunks.json,221,222,309.1,,no_detectable_heading,"Provided here are general descriptions of the kinds of occupancies that are classified in Group M. Mercantile buildings most often have both a moderate occupant load and a high fuel load, which is in the form of furnishings and the",1,,,,,split_chunk_candidate,,,
272,SBC 201 - The Saudi General Building Code-1-250_extracted_chunks.json,221,222,414.2.5,,no_detectable_heading,"❖ This section addresses an exception for control areas of mercantile occupancies containing certain nonflammable or noncombustible materials and health hazard gases that are stored in accordance with Table 414.2.5(1). This section allows Group H-4 materials, which pose a health",1,,,,,do_not_touch,,,
274,SBC 201 - The Saudi General Building Code-1-250_extracted_chunks.json,226,226,310.4.2,,no_detectable_heading,"A lodging house with five or fewer guest rooms and 10 or fewer total occupants can be classified as a Group R-3 occupancy or, under Section 310.4.2 , can be constructed under the provisions of SBC 1101/1102 provided that a",,,,1,,split_chunk_candidate,,,
275,SBC 201 - The Saudi General Building Code-1-250_extracted_chunks.json,227,227,903.3.1,310.5,suspicious_cross_chapter_label,CHAPTER 3—USE AND OCCUPANCY CLASSIFICATION SBC 201-CC-2024 199 permitted to be constructed in accordance with SBC 1101/1102 provided an automatic sprinkler system is installed in accordance with Section 903.3.1.3 or Section 2904 of SBC 1101/1102. ❖ This section allows sprinklered,,,,1,,split_chunk_candidate,,,
277,SBC 201 - The Saudi General Building Code-1-250_extracted_chunks.json,230,250,311.2,,no_detectable_heading,"CHAPTER 3—USE AND OCCUPANCY CLASSIFICATION SBC 201-CC-2024 202 storage. A simple guideline to follow is the “single thickness” rule, which is when a noncombustible product is put in one layer of packaging material. Examples of materials qualified for storage in",,,,,,split_chunk_candidate,,,
282,SBC 201 - The Saudi General Building Code-1-250_extracted_chunks.json,230,250,414.2,,no_detectable_heading,"For use of control areas, see Section 414.2 . b. The aggregate quantity in use and storage shall not exceed the quantity listed for storage. c. In retail and wholesale sales occupancies, the quantities of medicines, foodstuffs or consumer products,",,,,1,,do_not_touch,,,
283,SBC 201 - The Saudi General Building Code-1-250_extracted_chunks.json,230,250,5003.9.10,,no_detectable_heading,"SBC 201-CC-2024 207 e. Maximum allowable quantities shall be increased 100 percent when stored in approved storage cabinets, day boxes, gas cabinets, gas rooms or exhausted enclosures or in listed safety cans in accordance with Section 5003.9.10 of SBC 801.",1,,,1,,do_not_touch,,,
284,SBC 201 - The Saudi General Building Code-1-250_extracted_chunks.json,230,250,414.2,,no_detectable_heading,"MATERIAL STORAGEb USE-CLOSED SYSTEMSb USE-OPEN SYSTEMSb Solid, kgd, e Liquid liters (kg)d, e Gas cubic meters at NTP (kg)d Solid, kgd Liquid liters (kg)d Gas m3 at NTP (kg)d Solid, kgd Liquid liters (kg)d Corrosive 2,250 1,900 Gaseous 22.5e Liquefied",1,,,1,,do_not_touch,,,
285,SBC 201 - The Saudi General Building Code-1-250_extracted_chunks.json,230,250,303.2,,no_detectable_heading,FIGURE 303.2(2) GROUP A-1 - CHAPTER 3—USE AND OCCUPANCY CLASSIFICATION SBC 201-CC-2024 212 24-HOUR CARE Type of care Capability of patients receiving care Types of facilities 1-5 Occupants 6-16 Occupants More than 16 occupants Custodial Capable of responding to emergency,,,,1,,split_chunk_candidate,,,
286,SBC 201 - The Saudi General Building Code-1-250_extracted_chunks.json,230,250,308.3.4,,no_detectable_heading,[Table table_p240_1] Headers: 24-HOUR CARE Type of care | Capability of patients receiving care | Types of facilities | 1-5 Occupants | 6-16 Occupants | More than 16 occupants Custodial | Capable of responding to emergency situation and complete building,1,,,,,do_not_touch,,,
288,SBC 201 - The Saudi General Building Code-1001-1250_extracted_chunks.json,1,23,402.5,,no_detectable_heading,"CHAPTER 9—FIRE PROTECTION SYSTEMS SBC 201-CC-2024 973 Occupancy Threshold Exception All occupancies Buildings with floor level ≥ 16.5 m above fire department vehicle access and occupant load ≥ 30. Open parking structures. F-2 Assembly (A-1, A-3, A-4) Fire area >",1,1,,1,,do_not_touch,,,
289,SBC 201 - The Saudi General Building Code-1001-1250_extracted_chunks.json,1,23,903.2.11,,no_detectable_heading,SBC 201-CC-2024 974 FIGURE 903.2.11.1 SPACING OF OPENINGS IN STORIES OR BASEMENTS FIGURE 903.2.11.1.2(1) OPENINGS IN STORIES OR BASEMENTS—LESS THAN 23 METER FROM ANY POINT TO AN OPENING 23 m 23 m - CHAPTER 9—FIRE PROTECTION SYSTEMS SBC 201-CC-2024 975,,,,1,,do_not_touch,,,
290,SBC 201 - The Saudi General Building Code-1001-1250_extracted_chunks.json,1,23,903.3,,no_detectable_heading,— Building identification — Description of hazard — Name and address of contractor and designer — Name of approving agency 3. System design requirements include: — Design area of water application — Minimum rate of water application (density) — Area,,,,1,,do_not_touch,,,
291,SBC 201 - The Saudi General Building Code-1001-1250_extracted_chunks.json,1,23,904.11,,no_detectable_heading,SBC 201-CC-2024 982 FIGURE 904.11 WATER MIST NOZZLE DISCHARGE FIGURE 905.3.1(1) HEIGHT THRESHOLD FOR STANDPIPES - CHAPTER 9—FIRE PROTECTION SYSTEMS SBC 201-CC-2024 983 FIGURE 905.3.1(2) HEIGHT REQUIREMENTS FOR STANDPIPES WITH MULTIPLE LEVELS OF FIRE DEPARTMENT VEHICLE ACCESS - CHAPTER 9—FIRE,1,,,,1,do_not_touch,,,
292,SBC 201 - The Saudi General Building Code-1001-1250_extracted_chunks.json,1,23,907.2.1,,no_detectable_heading,"[Table table_p12_1] Headers: MANUAL FIRE ALARM SYSTEM Occupancy Group(s) | Threshold Assembly (A-1, A-2, A-3, A-4, A-5) | All with an occupant load of > 300 (907.2.1 ) Business (B) | Total Group B occupant load of > 500; or",,,,,1,do_not_touch,,,
294,SBC 201 - The Saudi General Building Code-1001-1250_extracted_chunks.json,24,25,1001.1,,no_detectable_heading,A primary purpose of codes in general and building codes in particular is to safeguard life in the presence of a fire. Integral to this purpose is the path of egress travel for occupants to escape and avoid a fire.,,,,,,split_chunk_candidate,,,
297,SBC 201 - The Saudi General Building Code-1001-1250_extracted_chunks.json,27,43,1002.2,,no_detectable_heading,"CHAPTER 10—MEANS OF EGRESS SBC 201-CC-2024 999 amount of time necessary for occupants to exit the buildings. • Section 1006 deals with the number of ways out of a space or off a floor, either by exit elements or exit",,,,,,split_chunk_candidate,,,
299,SBC 201 - The Saudi General Building Code-1001-1250_extracted_chunks.json,27,43,1003.3.2,,no_detectable_heading,"❖ Post-mounted objects, such as signs or some types of drinking fountains or phone boxes, are not permitted to overhang more than 100 mm past the post where the bottom edge is located higher than 700 mm above the walking",,,,,,split_chunk_candidate,,,
302,SBC 201 - The Saudi General Building Code-1001-1250_extracted_chunks.json,27,43,1030.8,,no_detectable_heading,"The reference in Note c to Section 1030.8 is to allow for the unique common path of travel requirements in spaces with assembly seating, such as in a lecture room or sports facility. Note d is a reference to the",,,,,,split_chunk_candidate,,,
303,SBC 201 - The Saudi General Building Code-1001-1250_extracted_chunks.json,27,43,1006.2.2,1006.2.2.2,body_heading_child_of_section_number,❖ This section requires two exit access doorways for the specified mechanical equipment spaces because of the level of hazards in this type of space. A fixed ladder or an alternating tread device is permitted for service personnel to egress,,,,,,safe_auto_candidate,,,
304,SBC 201 - The Saudi General Building Code-1001-1250_extracted_chunks.json,29,203,1003.3.3,,no_detectable_heading,CHAPTER 10—MEANS OF EGRESS SBC 201-CC-2024 1001 than 2000 mm above the finished floor shall not project horizontally more than 100 mm into the circulation path. Exception: Handrails are permitted to protrude 115 mm from the wall or guard. ❖,,,,,,split_chunk_candidate,,,
316,SBC 201 - The Saudi General Building Code-1001-1250_extracted_chunks.json,31,33,1005.3.1,1004.3,suspicious_cross_chapter_label,"❖ Egress design for stories is typically not additive. For example, second-floor egress requirements that use exit access stairways to move to the ground level are coordinated with the requirements for exiting from multiple stories found in Sections 1005.3.1 and",,,,,,split_chunk_candidate,,,
